Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,"Facturacion estimada",Diferencia,"Cuota total mercado","Cuota actual","Cuota potencial",,,,
anon_S136,ALICANTE,0,40500,445,486,"107582,2069",0,"1000556114,4326404","1000624127,6395404","0,0001492756001771054","2,2231672540351257E-08","0,00014925336850456504",,,,
anon_S137,ALICANTE,0,28400,414,497,"1690217,579",0,"934392756,4562085","936055485,0352085","0,00013940451465856355","2,5654099450230356E-07","0,00013914797366406124",,,,
anon_S138,ALICANTE,0,0,500,689,0,0,"1129960010,873306","1129961199,873306","0,0001685817080782998","1,7739003944943385E-10","0,00016858153068826035",,,,
anon_S139,ALICANTE,0,4800,241,711,"77508,75338",0,"565843112,4658309","565916773,2192109","8,441962324853169E-05","1,2421890939165502E-08","8,440720135759253E-05",,,,
anon_S140,ALICANTE,0,4800,117,220,"57425,34011",0,"272383412,94354504","272436375,28365505","4,063759829051882E-05","9,333840185165515E-09","4,062826445033366E-05",,,,
anon_S141,ALICANTE,0,51750,554,426,"7720871,609",0,"1240301551,9182332","1247971653,5272331","0,00018504385300586155","1,1597640841755193E-06","0,00018388408892168603",,,,
anon_S142,ALICANTE,0,30000,170,326,"15815074,81",0,"402658324,6074169","418443895,41741693","6,007365524537647E-05","2,3640424147053807E-06","5,770961283067109E-05",,,,
anon_S143,ALICANTE,0,118900,131,325,"17923204,6",0,"318801788,6490376","336606549,2490376","4,756287793524209E-05","2,691817103955257E-06","4,487106083128684E-05",,,,
anon_S144,ALICANTE,0,7200,85,43,0,0,"194278849,25527126","194271777,25527126","2,8984972862559445E-05","1,093283607304837E-09","2,898387957895214E-05",,,,
anon_S145,ALICANTE,0,19200,3,8,"3583030,287",0,"15911732,638808988","19475573,92580899","2,3739132720834066E-06","5,374278587109414E-07","1,8364854133724652E-06",,,,
anon_S146,ALICANTE,0,50350,38,31,"688882,9771",0,"91580469,56373446","92219071,54083446","1,3663131294119875E-05","1,1029840780724427E-07","1,355283288631263E-05",,,,
anon_S147,ALICANTE,0,100500,82,215,"19383129,9",0,"207651174,1229495","226934101,02294952","3,098002520554354E-05","2,9068583359300966E-06","2,8073166869613444E-05",,,,
anon_S148,ALICANTE,0,38850,213,254,"1606448,877",0,"484408812,9472675","485976878,82426745","7,227022576818267E-05","2,4553614284740294E-07","7,202468962533527E-05",,,,
anon_S149,ALICANTE,0,54300,524,570,"2347921,414",0,"1178236474,4385242","1180531189,8525243","0,00017578420074130502","3,5855695214372784E-07","0,0001754256437891613",,,,
anon_S150,ALICANTE,0,196600,297,242,"4809998,109",0,"669123505,6655154","673737442,7745154","9,982829694411207E-05","7,470279640826192E-07","9,908126898002946E-05",,,,
anon_S151,ALICANTE,0,308700,220,136,"2474576,063",0,"494725040,6380691","496891272,7010691","7,380933092969708E-05","4,1529739400191667E-07","7,339403353569516E-05",,,,
anon_S152,ALICANTE,0,147400,789,1164,"4294807,981",0,"1785364364,2889454","1789513725,2699454","0,0002663632085894276","6,630360737924512E-07","0,00026570017251563514",,,,
anon_S153,ALICANTE,0,0,170,304,0,0,"391914516,4395722","391914990,4395722","5,8470758227099665E-05","7,071730756857161E-11","5,84706875097921E-05",,,,
anon_S154,ALICANTE,0,52300,606,947,"8479411,298",0,"1378493477,0274148","1386922141,325415","0,0002056610700342139","1,2731001601805428E-06","0,00020438796987403337",,,,
