Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1999,"A CORUNA",0,121800,104,81,"6620693,132",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2000,"A CORUNA",0,1500,65,48,"2952133,771",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2001,"A CORUNA",0,256800,250,239,"5615194,77",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2002,"A CORUNA",0,34900,155,103,"7838694,836",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S69,ALBACETE,"29506649,57",0,13,126,"1663768,905",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2003,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2004,"A CORUNA",0,0,3,8,"2102598,295",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2005,"A CORUNA",0,17400,18,0,"102097,3627",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2006,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2007,"A CORUNA",0,100200,80,91,"9057207,577",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2009,"A CORUNA",0,45250,157,80,"130723,0872",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2010,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2011,"A CORUNA",0,10800,345,400,"588628,7341",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2012,"A CORUNA",0,637900,534,417,"35902534,02",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2013,"A CORUNA",0,4900,61,107,"3757491,007",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2014,"A CORUNA",0,0,2,38,"1120511,514",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2015,"A CORUNA",0,0,2,6,"28328,42845",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2016,"A CORUNA",0,8925,14,41,"4745136,684",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2017,"A CORUNA",0,28800,66,42,"1906815,831",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2018,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2019,"A CORUNA",0,1500,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2020,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2021,"A CORUNA",0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2022,"A CORUNA",0,0,30,18,"837521,4036",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2023,"A CORUNA",0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2024,"A CORUNA",0,0,7,8,"3065893,635",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2025,"A CORUNA",0,12000,16,2,"104434,6637",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2027,"A CORUNA",0,52200,85,90,"6506282,319",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2028,"A CORUNA",0,3750,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2029,"A CORUNA",0,178000,125,143,"14573527,95",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2030,"A CORUNA",0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2031,"A CORUNA",0,18750,10,11,"637569,2983",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2032,"A CORUNA",0,0,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2033,"A CORUNA",0,7500,7,11,"64336,88071",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2034,"A CORUNA",0,37500,30,44,"3485530,783",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2035,"A CORUNA",0,52500,97,155,"6753110,933",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2036,"A CORUNA",0,0,74,25,"3771829,12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2037,"A CORUNA",0,326550,603,667,"2249527,834",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S103,ALBACETE,"323450170,8",5700,140,520,"17555794,79",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2038,"A CORUNA",0,118800,349,394,"12973447,53",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2039,"A CORUNA",0,0,144,79,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2040,"A CORUNA",0,79850,184,203,"10401162,03",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S107,ALBACETE,"126806078,1",50100,42,249,"6872066,968",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2041,"A CORUNA",0,39600,191,249,"9431290,343",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2042,"A CORUNA",0,9900,212,301,"3409652,822",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2043,"A CORUNA",0,243900,259,355,"14500149,56",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2044,"A CORUNA",0,16200,198,219,"1622829,312",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2046,"A CORUNA",0,698450,148,174,"2031265,044",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2047,"A CORUNA",0,128400,174,163,"15450644,73",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2048,"A CORUNA",0,15000,11,15,"826182,9314",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2049,"A CORUNA",0,19120,497,576,"8735807,034",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2050,"A CORUNA",0,479675,434,504,"40397222,42",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2051,"A CORUNA",0,215200,205,222,"24242895,05",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2052,"A CORUNA",0,3750,5,19,"3533333,855",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2053,"A CORUNA",0,39950,257,353,"9187928,234",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2054,"A CORUNA",0,41100,50,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2056,"A CORUNA",0,178600,623,957,"13477117,19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2058,"A CORUNA",0,50700,14,14,"2130051,334",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2059,"A CORUNA",0,72000,67,36,"3827093,041",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2060,"A CORUNA",0,22175,29,71,"13422197,41",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2062,"A CORUNA",0,232600,232,315,"35115333,49",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2063,"A CORUNA",0,3750,0,29,"2260587,893",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2064,"A CORUNA",0,19200,235,461,"8975559,664",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2065,"A CORUNA",0,3000,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
