Cod_Cli;PROVINCIA;Uds_AH;Uds_DNT;Uds_VH;Resto_Farmacos
anon_S195;ALICANTE;143250;508;397;176996,0128
anon_S196;ALICANTE;0;15;0;0
anon_S197;ALICANTE;178225;288;364;30407410,94
anon_S198;ALICANTE;176200;216;138;7092824,209
anon_S199;ALICANTE;48750;124;136;1232467,376
anon_S200;LUGO;31500;17;12;420775,5571
anon_S201;LUGO;19300;75;77;7994438,761
anon_S202;ALICANTE;398600;200;183;10598029,54
anon_S203;ALICANTE;31200;370;852;17417706,73
anon_S204;ALICANTE;0;321;819;0
anon_S205;ALICANTE;69600;435;834;22000653,37
anon_S206;ALICANTE;4800;225;247;150196,4304
anon_S207;ALICANTE;31600;27;39;2213693,835
anon_S208;ALICANTE;0;2;7;0
anon_S209;ALICANTE;186625;522;793;7917154,016
anon_S210;ALICANTE;218550;136;236;8143436,293
anon_S211;ALICANTE;0;276;233;0
anon_S212;ALICANTE;14400;226;178;3094154,411
anon_S213;ALICANTE;66775;272;118;5286759,267
anon_S214;ALICANTE;0;127;159;0
anon_S215;ALICANTE;14025;144;205;7523538,11
anon_S216;ALICANTE;0;577;1071;707709,2714
anon_S217;ALICANTE;331400;554;1009;46608040,07
anon_S218;ALICANTE;0;378;873;982010,0848
anon_S219;ALICANTE;183300;331;765;618428,9485
anon_S220;ALICANTE;0;401;820;0
anon_S221;ALICANTE;472200;338;664;49882404,67
anon_S222;ALICANTE;0;581;1031;174800,8382
anon_S223;ALICANTE;81700;534;946;3841072,894
anon_S224;ALICANTE;37500;310;391;485502,4112
anon_S225;ALICANTE;0;77;35;0
anon_S226;ALICANTE;380075;270;446;11780855,57
anon_S227;ALICANTE;0;401;387;55684,53922
anon_S228;ALICANTE;19200;35;69;995629,4139
anon_S229;ALICANTE;22500;73;147;257307,0348
anon_S230;ALICANTE;219300;447;1006;264902,9495
anon_S231;ALICANTE;0;122;121;0
anon_S232;ALICANTE;54300;311;409;5811055,89
anon_S233;ALICANTE;71000;414;928;8017759,846
anon_S234;ALICANTE;213300;168;308;2941966,059
anon_S235;ALICANTE;41700;338;922;1414401,916
anon_S236;ALICANTE;76250;151;232;10429326,11
anon_S237;ALICANTE;19200;97;162;388373,3215
anon_S238;ALICANTE;0;99;310;14791305,53
anon_S239;ALICANTE;183000;316;500;29293059,97
anon_S240;ALICANTE;0;459;1146;0
anon_S241;ALICANTE;76800;241;433;0
anon_S242;ALICANTE;238450;144;262;7245625,457
anon_S243;ALICANTE;31500;326;617;5610515,452
anon_S244;ALICANTE;40300;686;1516;24123666,01
anon_S245;ALICANTE;29400;426;933;9391961,164
anon_S246;ALICANTE;0;278;291;4213047,889
anon_S247;ALICANTE;8700;195;534;2086093,991
anon_S248;ALICANTE;57300;122;251;44644703,73
anon_S249;ALICANTE;22500;339;672;0
anon_S250;ALICANTE;30200;258;446;9424061,778
anon_S251;ALICANTE;121800;394;812;393409,3058
anon_S252;ALICANTE;0;70;106;166304,055
anon_S253;ALICANTE;38400;313;513;3710161,811
anon_S254;ALICANTE;174800;322;538;11861939,5
anon_S255;ALICANTE;9600;141;179;0
anon_S256;ALICANTE;152800;736;1302;3675144,833
anon_S257;ALICANTE;21900;485;706;0
anon_S258;ALICANTE;339700;496;492;40607611,22
anon_S259;ALICANTE;187125;325;260;19459377,4
anon_S260;ALICANTE;67950;258;256;1823597,29
anon_S261;ALICANTE;24600;270;262;3312323,039
anon_S262;ALICANTE;0;162;244;5411234,925
anon_S263;ALICANTE;30000;176;285;17272881,73
anon_S264;ALICANTE;12100;127;138;6078004,978
anon_S265;ALICANTE;24700;341;766;22045748,27
anon_S266;ALICANTE;58300;246;494;4058971,082
anon_S267;ALICANTE;108900;23;49;22500886,13
anon_S268;ALICANTE;43720;338;122;2701040,15
anon_S269;ALICANTE;201500;560;661;21966503,57
anon_S270;ALICANTE;0;253;193;1702001,415
anon_S271;ALICANTE;30000;70;46;3951104,777
anon_S272;ALICANTE;9600;9;49;4056015,188
anon_S273;ALICANTE;52300;143;212;7628625,267
anon_S274;ALICANTE;2400;47;163;17587923,53
anon_S275;ALICANTE;22500;61;114;0
anon_S276;ALICANTE;0;125;305;10353841,54
anon_S277;ALICANTE;0;82;323;0
anon_S278;ALICANTE;0;70;336;0
anon_S279;ALICANTE;0;133;239;0
anon_S280;ALICANTE;87550;242;251;8813392,91
anon_S281;ALICANTE;36000;13;95;0
anon_S282;ALICANTE;28800;32;56;1241421,047
anon_S283;ALICANTE;0;30;163;0
anon_S284;ALICANTE;0;27;124;2560209,819
anon_S285;ALICANTE;10800;364;464;36091818,15
anon_S286;ALICANTE;41700;53;69;12948798,16
anon_S287;ALICANTE;83400;115;370;464952,1345
anon_S288;ALICANTE;8400;254;644;38740069,8
anon_S289;ALICANTE;22800;43;62;0
anon_S290;ALICANTE;25000;286;615;20593595,58
anon_S291;ALICANTE;0;1;11;0
anon_S292;ALICANTE;43800;243;314;13175982,14
anon_S293;ALICANTE;73750;419;378;42210805,25
anon_S294;ALICANTE;68700;483;395;230663,7292
anon_S295;ALICANTE;141300;517;1142;10629497,28
anon_S296;ALICANTE;75750;385;1115;28074003,94
anon_S297;ALICANTE;0;375;947;21721765,65
anon_S298;ALICANTE;91225;709;944;47526599,12
anon_S299;ALICANTE;488825;559;391;9012682,229
anon_S300;ALICANTE;30300;31;22;443067,2469
anon_S301;ALICANTE;0;2;1;0
anon_S302;ALICANTE;444575;362;157;18184923,21
anon_S303;ALICANTE;0;3;1;0
anon_S304;ALICANTE;149770;447;354;10151096,68
anon_S305;ALICANTE;291300;341;368;21717276,66
anon_S306;ALICANTE;0;2;0;0
anon_S307;ALICANTE;0;0;0;0
anon_S308;ALICANTE;100250;49;58;3476042,676
anon_S309;ALICANTE;16050;265;387;0
anon_S310;ALICANTE;57600;155;78;4171212,425
anon_S311;ALICANTE;78000;134;123;2682672,734
anon_S312;ALICANTE;83200;153;109;2365498,867
anon_S313;ALICANTE;0;0;4;0
anon_S314;ALICANTE;0;136;131;0
anon_S315;ALICANTE;45100;152;150;2581815,917
anon_S316;ALICANTE;128800;269;219;8679749,115
anon_S317;ALICANTE;0;149;50;642092,5105
anon_S318;ALICANTE;0;309;361;0
anon_S319;ALICANTE;26500;592;790;9710844,311
anon_S320;ALICANTE;24900;245;314;3550184,707
anon_S321;ALICANTE;85700;131;54;2011670,244
anon_S322;ALICANTE;0;226;331;0
anon_S323;ALICANTE;24400;184;274;1987816,397
anon_S324;ALICANTE;11600;184;290;0
anon_S325;ALICANTE;117300;336;624;7738390,049
anon_S326;ALICANTE;38525;352;593;13926685,49
anon_S327;ALICANTE;4800;487;838;89532,34604
anon_S328;ALICANTE;151500;648;336;15154947,49
anon_S329;ALICANTE;100900;297;232;14647162,62
anon_S330;ALICANTE;5700;469;221;535107,907
anon_S331;ALICANTE;320300;600;906;7901224,483
anon_S332;ALICANTE;4800;289;432;1353632,781
anon_S333;ALICANTE;279600;1517;1110;179260,8223
anon_S334;ALICANTE;0;225;85;0
anon_S335;ALICANTE;59475;719;1127;26361896,84
anon_S336;ALICANTE;18025;698;467;9747327,472
anon_S337;ALICANTE;55800;191;193;8750540,539
anon_S338;ALICANTE;351400;346;490;13049514,66
anon_S339;ALICANTE;27000;142;271;2378619,784
anon_S340;ALICANTE;9600;416;679;1934019,809
anon_S341;ALICANTE;52800;330;455;81415,32009
anon_S342;ALMERIA;0;124;141;0
anon_S343;ALMERIA;14400;59;96;2297358,979
anon_S344;ALMERIA;66650;58;88;3387888,259
anon_S345;ALMERIA;4550;125;90;6009286,477
anon_S346;ALMERIA;0;349;405;5431297,786
anon_S347;ALMERIA;0;256;693;0
anon_S348;ALMERIA;88200;267;321;7135973,554
anon_S349;ALMERIA;0;32;39;0
anon_S350;ALMERIA;24100;380;835;87293,70454
anon_S351;ALMERIA;0;198;165;0
anon_S352;ALMERIA;52500;184;246;3359217,898
anon_S353;ALMERIA;4800;109;356;8906362,644
anon_S354;ALMERIA;0;247;313;4136409,776
anon_S355;ALMERIA;19950;230;561;21674244,47
anon_S356;ALMERIA;72100;445;612;22383868,1
anon_S357;ALMERIA;259200;166;231;33261020,84
anon_S358;ALMERIA;13700;328;424;22481669,37
anon_S359;ALMERIA;0;304;627;0
anon_S360;ALMERIA;0;8;29;0
anon_S361;ALMERIA;0;19;41;0
anon_S362;ALMERIA;0;159;296;0
anon_S363;ALMERIA;0;93;270;4764491,997
anon_S364;ALMERIA;57000;764;942;6390840,223
anon_S365;ALMERIA;0;0;19;1186792,751
anon_S366;ALMERIA;0;282;494;0
anon_S367;ALMERIA;576675;635;1612;79435757,65
anon_S368;ALMERIA;19200;93;325;18039142,23
anon_S369;ALMERIA;1200;48;15;0
anon_S370;ALMERIA;0;259;734;6369426,121
anon_S371;ALMERIA;63750;38;218;9007426,966
anon_S372;ALMERIA;43900;807;1380;2909617,744
anon_S373;ALMERIA;2400;559;1046;3828233,834
anon_S374;ALMERIA;0;297;629;0
anon_S375;ALMERIA;33750;21;41;2653976,184
anon_S376;ALMERIA;9600;358;1248;1954463,999
anon_S377;ALMERIA;0;99;134;0
anon_S378;ALMERIA;7800;407;955;16191258,03
anon_S379;ALMERIA;0;1;18;2379253,824
anon_S380;ALMERIA;14400;226;324;2953134,508
anon_S381;ALMERIA;0;5;48;0
anon_S382;ALMERIA;45000;25;32;0
anon_S383;ALMERIA;9600;17;46;775645,5844
anon_S384;ALMERIA;0;45;31;0
anon_S385;ALMERIA;20000;16;13;93938,64146
anon_S386;ALMERIA;0;10;16;763109,3319
anon_S387;ALMERIA;24500;336;258;3760526,192
anon_S388;ALMERIA;40400;442;630;6772274,012
anon_S389;ALMERIA;1200;324;511;642048,0458
anon_S390;ALMERIA;0;105;172;0
anon_S391;ALMERIA;108450;626;1179;87031276,6
anon_S392;ALMERIA;47700;89;420;31631306,48
anon_S393;ALMERIA;0;343;921;5351891,172
anon_S394;ALMERIA;0;263;599;0
anon_S395;ALMERIA;0;337;855;8174629,957
anon_S396;ALMERIA;9600;31;30;0
anon_S397;ALMERIA;2400;252;481;0
anon_S398;ALMERIA;6600;289;973;0
anon_S399;ALMERIA;3300;307;837;17870114,97
anon_S400;ALMERIA;0;97;202;0
anon_S401;ALMERIA;0;48;303;10964154,79
anon_S402;ALMERIA;0;86;202;7604175,672
anon_S403;ALMERIA;0;247;531;0
anon_S404;ALMERIA;0;18;22;0
anon_S405;ALMERIA;3000;418;1205;9645289,654
anon_S406;ALMERIA;65400;285;617;13112682,53
anon_S407;ALMERIA;0;6;20;816907,5009
anon_S408;ALMERIA;0;208;458;20165960,21
anon_S409;ALMERIA;1000;48;127;4886012,072
anon_S410;ALMERIA;0;55;289;107653,8141
anon_S411;ALMERIA;0;19;76;0
anon_S412;ALMERIA;0;90;138;0
anon_S413;ALMERIA;0;48;43;0
anon_S414;ALMERIA;22000;338;376;1930473,166
anon_S415;ALMERIA;40100;168;69;3988572,653
anon_S416;ALMERIA;0;120;358;0
anon_S417;ALMERIA;0;22;26;0
anon_S418;ALMERIA;43950;770;187;0
anon_S419;ALMERIA;11000;610;1108;17458160,11
anon_S420;ALMERIA;9300;118;251;7295530,864
anon_S421;ALMERIA;153150;443;361;5646617,313
anon_S422;ALMERIA;0;116;162;0
anon_S423;ALMERIA;0;6;127;0
anon_S424;ALMERIA;0;104;213;0
anon_S425;ALMERIA;0;1069;1578;246186,5979
anon_S426;ALMERIA;0;2;8;720044,6196
anon_S427;ALMERIA;7500;47;108;785340,1945
anon_S428;ALMERIA;127950;1123;518;1747942,95
anon_S429;ALMERIA;195000;529;164;10462403,74
anon_S430;ALMERIA;7500;215;109;807346,1666
anon_S431;ALMERIA;0;1;3;1240513,377
anon_S432;ALMERIA;11250;351;1043;97066,92829
anon_S433;ALMERIA;0;95;157;0
anon_S434;ALMERIA;231450;310;33;99744,7614
anon_S435;ALMERIA;0;3;0;0
anon_S436;ALMERIA;13350;294;299;58114,48799
anon_S437;ALMERIA;57600;55;12;67243,69474
anon_S438;ALMERIA;29000;164;276;3784995,159
anon_S439;ALMERIA;1000;54;15;0
anon_S440;ALMERIA;0;4;17;46048,24922
anon_S441;ALMERIA;10500;10;0;0
anon_S442;ALMERIA;4800;214;167;63769,61693
anon_S443;ALMERIA;0;0;0;0
anon_S444;ALMERIA;19800;441;684;30090354,12
anon_S445;ALMERIA;0;88;81;0
anon_S446;ALMERIA;0;64;9;0
anon_S447;ALMERIA;0;18;40;1709973,841
anon_S448;ALMERIA;47950;183;226;13193263,89
anon_S449;LUGO;46300;45;37;2074659,972
anon_S450;OURENSE;125000;284;122;1275143,294
anon_S451;ALMERIA;0;0;0;0
anon_S452;ALMERIA;0;2;13;0
anon_S453;AVILA;38400;164;160;3053661,034
anon_S454;AVILA;49300;83;103;19267362,27
anon_S455;AVILA;4800;0;13;162668,371
anon_S456;AVILA;0;0;0;0
anon_S457;AVILA;2500;3;3;554813,9591
anon_S458;AVILA;92850;79;104;13967574,66
anon_S459;AVILA;9600;5;22;3091432,723
anon_S460;AVILA;3300;3;2;0
anon_S461;AVILA;18750;20;20;2487392,231
anon_S462;AVILA;9600;7;19;2271132,166
anon_S463;AVILA;6150;0;16;0
anon_S464;AVILA;0;0;13;0
anon_S465;AVILA;3300;4;0;0
anon_S466;AVILA;0;0;0;0
anon_S467;AVILA;37500;28;22;2792873,959
anon_S468;AVILA;67200;60;86;7952561,299
anon_S469;AVILA;1914150;256;293;6933418,623
anon_S470;AVILA;21300;7;5;66083,96865
anon_S471;AVILA;140450;211;260;15647060
anon_S472;AVILA;116800;76;128;13316538,15
anon_S473;AVILA;44250;28;49;2991156,487
anon_S474;AVILA;0;13;25;0
anon_S475;AVILA;0;15;0;0
anon_S476;AVILA;32950;160;117;2484121,285
anon_S477;AVILA;0;14;48;198115,8674
anon_S478;AVILA;33000;162;232;11818840,74
anon_S479;AVILA;24000;23;3;125103,6329
anon_S480;AVILA;0;12;6;0
anon_S481;AVILA;18750;11;66;740461,0388
anon_S482;AVILA;26400;27;20;466656,9576
anon_S483;AVILA;259675;126;52;7922048,292
anon_S484;AVILA;36900;80;58;3407558,886
anon_S485;AVILA;115950;317;161;10496154,1
anon_S486;AVILA;0;28;41;0
anon_S487;AVILA;113625;118;139;10866227,59
anon_S488;AVILA;93300;214;350;52609992,83
anon_S489;AVILA;0;0;0;0
anon_S490;AVILA;39600;38;117;9489683,019
anon_S491;AVILA;25800;24;248;26327056,3
anon_S492;AVILA;0;9;67;8862330,163
anon_S493;AVILA;42300;105;118;0
anon_S494;AVILA;17100;6;17;0
anon_S495;AVILA;192800;144;101;12685599,05
anon_S496;AVILA;309500;160;163;11123870,71
anon_S497;AVILA;0;2;2;0
anon_S498;AVILA;0;5;14;2828092,904
anon_S499;AVILA;0;22;30;3547009,435
anon_S500;AVILA;38400;22;6;509955,1642
anon_S501;AVILA;0;1;4;27372,65992
anon_S502;AVILA;0;94;153;5717825,79
anon_S503;AVILA;0;301;297;403772,055
anon_S504;AVILA;4800;12;47;1961004,391
anon_S505;AVILA;0;0;0;0
anon_S506;AVILA;28800;19;39;2451371,329
anon_S507;AVILA;61800;377;452;14507086,58
